지역 및 규모,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
경기 경부1권(102㎡초과 ~ 135㎡이하),93.78210447,93.09576969,93.09020498,93.47807767,93.54733276,93.43039707,93.32634323,93.49091049,93.54024301,93.81901546,94.11054573,94.31990204,94.56985243,94.63661496,94.77745269,95.18098489,95.6348265,95.83718129,96.15663998,96.32200316,96.54643218,96.6928951,96.97867387,97.14837466,97.28585952,97.3189918,97.27343577,97.25390159,97.10944047,96.97946032,97.02443556,97.14661327,97.23191598,97.2626103,97.2870505,97.33711103,97.32138955,97.23497994,97.19723618,97.14731022,97.17100659,97.20072711,97.3160725,97.62513709,98.40967858,99.16314696,99.66000915,100,100.5034745,101.58509,104.1211627,105.3397117,106.2865584,106.7339114,106.9039507,106.937523,107.2285481,108.5265774,109.1178985,109.1299249,109.0029711,108.739416,108.4056836,107.826271,107.2947349,106.749367,106.712469,106.9805199,107.4148377,108.1467111
경기 경부1권(135㎡초과),99.27316975,97.11193573,97.27329082,97.32059056,97.08288699,96.75824648,97.05393906,96.90789907,96.9500883,97.2746144,96.9712397,97.01612118,96.92793718,96.92916796,97.22666702,97.1720091,97.11964324,97.17767902,97.85577562,98.01933579,98.09994621,98.25508016,98.39969659,98.48335979,98.36307797,98.31152666,98.30811646,98.30811646,98.08426613,97.98329078,97.77933041,98.12570195,98.22895018,98.24169081,98.23426216,98.26753909,98.26753909,98.26973757,98.05405308,98.006547,97.98181491,98.01223822,98.12968896,98.3992369,99.01483483,99.37489888,99.75619228,100,100.8853121,102.4587494,104.3269211,105.4129167,106.4894888,106.8227172,107.1926923,107.6450638,108.2264846,109.7175957,109.7175957,109.9106787,109.7067847,109.2168369,109.0585735,108.6398299,108.5126268,108.5126268,108.3880685,108.3937004,108.4989489,109.3376397
경기 경부2권(40㎡이하),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.1645569,100.0603294,99.37039997,99.82251398,99.29961523,99.07319507,98.99694915,99.33600842,99.85187109,100.2112047,100.6813105,101.1666296,100.9201159,100.5638591,100.4285128,99.99841055,99.71836121,99.5549834,99.17029423,98.68847055,97.89509657,97.27468181
경기 경부2권(40㎡초과 ~ 60㎡이하),87.1168562,87.67605029,88.05674482,88.54775516,88.57109565,88.57513125,88.73183479,88.86021079,89.26745374,90.13293369,90.52157375,91.02350418,91.47060699,91.93392601,92.53066263,93.05188806,93.83303603,94.5190069,95.1510938,95.64995281,96.21016339,96.77374646,97.30777863,97.7054501,97.90477078,97.99024184,98.00484499,97.94419178,97.94886432,97.98677626,98.05314322,98.09788977,98.29328605,98.43270333,98.55634518,98.70047221,98.76722798,98.83831552,98.95207827,99.06152524,99.19012399,99.39451075,99.5793997,99.7935976,99.85221757,99.8704258,99.86934273,100,99.94448249,99.83860688,99.84741607,99.97660065,100.1675362,99.84188488,99.48159757,99.29304027,99.19520937,99.80380171,100.6156308,101.13805,101.274682,101.1430018,101.1348349,100.9624522,100.4305914,100.1629745,99.90867271,99.67092711,99.79725328,99.79954589
경기 경부2권(60㎡초과 ~ 85㎡이하),91.45943671,91.70043175,92.03335985,92.45837621,92.38081629,92.25212759,92.30248155,92.40526432,92.6841162,93.26979533,93.62039271,93.95235356,94.31705309,94.64224577,95.0380675,95.40257146,95.88056158,96.3180712,96.81866955,97.11781921,97.57080682,98.06194846,98.48354268,98.85077994,99.02588661,99.1060051,99.12703397,99.15416203,99.12825728,99.0639445,99.03712113,99.10943013,99.12626481,99.15153688,99.22284365,99.35644196,99.41513872,99.45334795,99.42722262,99.46910964,99.55753403,99.65031462,99.77172704,99.82443904,99.85357762,99.91506274,99.97287616,100,99.90084064,99.86417355,100.2074959,100.451557,100.8362262,100.9982086,101.111195,101.3442576,101.5253285,102.4384571,103.2150841,103.6922425,104.0444384,103.8956069,103.7341945,103.5594297,102.9487868,102.6297719,102.4146436,102.3816219,102.5272548,102.7599659
경기 경부2권(85㎡초과 ~ 102㎡이하),92.62729044,92.70300001,92.66137754,93.16494125,93.23046141,93.18225899,93.4197776,93.7242274,94.2364584,94.72956476,95.60744601,95.70758608,95.97475094,96.16541512,96.47379671,96.67355055,97.20557643,97.58250744,97.97622492,98.15615791,98.39413822,98.55321644,98.82572046,99.14636154,99.26600076,99.31703367,99.2568379,99.32478336,99.24902584,99.3186514,99.27136911,99.28130648,99.23569215,99.26195359,99.32366801,99.37900881,99.36335588,99.11853377,99.0332839,99.03194874,99.12040876,99.09056587,99.01996796,99.1485215,99.21690757,99.77189846,100.1172124,100,100.026653,100.5542113,100.5261471,101.1822688,101.8322927,102.5728218,102.8165889,103.4476364,103.4869336,104.4673888,105.2244114,106.3469943,106.8766073,107.2908473,107.0483839,106.9238439,106.1425884,105.2927216,104.9942584,104.9371961,105.1791176,105.3906668
경기 경부2권(102㎡초과 ~ 135㎡이하),96.99158939,97.24623658,97.16979114,97.35441721,96.99782328,97.00000181,96.88234394,96.88577986,96.8217763,97.14231089,97.33976149,97.34598607,97.32921334,97.55812926,97.83632255,98.15973095,98.45868141,98.80806202,99.07295168,99.25327809,99.37087269,99.56001856,99.8301528,100.1038454,100.2607235,100.3344306,100.3554678,100.3401782,100.3250815,100.351839,100.3452479,100.3369604,100.288991,100.2281262,100.2669515,100.3425522,100.3721815,100.3717596,100.3602161,100.3717894,100.3568829,100.2686266,100.2032153,100.1740158,100.1070582,100.1820242,100.1662384,100,100.0222189,100.0522536,99.98263153,100.3169326,100.6208909,100.9861848,101.3981933,101.4574045,101.9762149,102.7060485,103.6011307,104.3179943,104.4815786,104.5556742,104.416967,104.2214075,103.8765939,103.6192573,103.4985083,103.5216147,103.6464547,103.8760964
경기 경부2권(135㎡초과),103.0208609,102.9793764,102.8632692,102.427518,101.3805309,100.8540386,100.4414559,100.0418269,99.96465271,99.97227411,99.92836154,99.81921282,99.83020952,100.0502983,100.1925509,100.3095111,100.4021131,100.5051652,100.635026,100.7532781,100.8607438,101.0356338,101.2979373,101.4502244,101.6401608,101.7290976,101.71231,101.720712,101.7050587,101.5794502,101.3578844,101.2003039,101.1488899,101.1488899,101.1327751,101.169106,101.171789,101.1652745,101.1652745,101.0916191,100.9311388,100.5589996,100.2249207,100.114302,100.1347006,100.0724426,100.0788198,100,99.83593015,99.51118934,99.57617199,99.37215448,100.2408135,100.6401051,101.4064024,101.9589679,102.1659233,103.1335653,104.3907676,105.0450318,105.6177646,105.8136936,105.8243807,105.744991,105.516339,105.050536,104.9226373,104.7832338,104.9114694,104.696386
경기 서해안권(40㎡이하),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.97458136,99.62051888,99.47741342,99.51081705,99.54079189,99.27029223,98.88518106,98.41315647,98.14806148,98.86263743,99.26829998,98.68961265,97.93324377,97.54833637,97.05487282,96.08774316,94.92297521,94.05799138,94.10381399,93.99538104,93.32365023,92.9851881
경기 서해안권(40㎡초과 ~ 60㎡이하),85.58170443,85.90662194,86.27493247,86.75955691,86.81756263,86.90304031,86.98036133,87.01559192,87.18198916,88.00887071,88.58579482,88.94363003,89.17570102,89.44817422,89.93883471,90.5896163,91.65906637,92.47681551,93.30622896,93.92548844,94.4321425,94.95807357,95.69304771,96.26834645,96.50170232,96.55167548,96.58237119,96.59509656,96.65103529,96.75905086,97.04728201,97.30139946,97.51446553,97.67571393,97.91253826,98.19139299,98.29492779,98.35598192,98.40698955,98.45800133,98.60745995,98.83594339,99.04987986,99.20380049,99.45134557,99.63508958,99.77870915,100,99.87042908,99.64548364,99.49066366,99.41636717,99.23226891,98.99994864,98.46321088,98.09789835,97.99291052,98.50419516,98.85609046,98.85219442,98.5439136,97.98251055,97.59730652,97.18268952,96.55659951,95.93022252,95.60853121,95.37946281,95.41458847,95.45736485
경기 서해안권(60㎡초과 ~ 85㎡이하),90.66848738,91.09765523,91.38577018,91.87473564,91.80970902,91.79239505,91.79356136,91.85857876,92.03279396,92.69145783,93.09942096,93.39491683,93.56816092,93.81248179,94.11951723,94.59627943,95.30935933,96.07597017,96.65625568,96.98889605,97.36992581,97.72079945,98.13337779,98.51097852,98.73184546,98.80017222,98.81002777,98.71043955,98.51996892,98.44082321,98.5142084,98.56220486,98.59926214,98.67128369,98.81577016,98.94701761,98.99833242,99.02741539,99.08771822,99.18330749,99.31947911,99.42259442,99.54659643,99.64158211,99.81798268,99.96531196,100.0457597,100,99.93606901,99.84202279,99.8657652,99.75279636,99.69295778,99.46093136,99.28190501,98.85840228,98.60430997,98.75539628,99.23799591,99.36712563,99.29704472,99.01319942,98.84299248,98.52631226,97.95310897,97.57870505,97.22169431,97.05402448,97.01057886,97.16088106
