구분,죄종,발생검거,검거,date
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
